,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
131,12.3,33.9,33.9,33.6,33.3,1.7026899095190582,4,450
132,12.3,34.1,34.0,33.7,33.4,1.606567648547261,4,500
133,12.2,33.9,33.8,33.6,33.3,1.600973391822228,4,500
134,12.2,34.0,34.0,33.6,33.3,1.7158765769978164,4,500
135,12.2,34.1,34.0,33.7,33.4,1.4698727531157627,4,500
136,12.3,34.2,34.1,33.8,33.4,1.7108083740648294,3,500
137,12.3,34.3,34.2,33.8,33.5,1.596311881030068,4,500
138,12.2,34.2,34.1,33.7,33.4,1.7485666125193873,2,500
139,12.2,34.3,34.1,33.7,33.5,1.7522786193095847,4,500
140,12.2,34.3,34.2,33.8,33.6,1.654623763375565,3,500
141,12.2,34.4,34.2,33.9,33.7,1.5333437089590973,4,500
142,12.1,34.2,34.0,33.7,33.6,1.5597959474941487,4,500
143,12.1,34.3,34.1,33.9,33.7,1.5916166368503817,4,500
144,12.1,34.4,34.1,33.9,33.8,1.7292182550112745,2,500
145,12.1,34.5,34.2,34.0,33.8,1.4791061465735027,3,500
146,12.1,34.4,34.1,33.8,33.6,1.6786099766505351,4,500
147,12.1,34.4,34.1,33.9,33.7,1.7132983649137057,3,500
148,12.1,34.5,34.2,33.9,33.7,1.7818848243106111,4,500
149,12.1,34.5,34.2,33.9,33.8,1.8443667966023074,4,500
